user_name,user_id,transaction_date,transaction_amount
peter001,50001,13/02/2019,1000
peter002,50002,13/02/2019,1001
peter003,50003,13/02/2019,1002
peter004,50004,13/02/2019,1003
peter005,50005,13/02/2019,1004
peter006,50006,13/02/2019,1005
peter007,50007,13/02/2019,1006
peter008,50008,13/02/2019,1007
peter009,50009,13/02/2019,1008
peter010,50010,13/02/2019,1009
peter011,50011,13/02/2019,1010
peter012,50012,13/02/2019,1011
peter013,50013,13/02/2019,1012
peter014,50014,13/02/2019,1013
peter015,50015,13/02/2019,1014
peter016,50016,13/02/2019,1015
peter017,50017,13/02/2019,1016
peter018,50018,13/02/2019,1017
peter019,50019,13/02/2019,1018
peter020,50020,13/02/2019,1019
peter021,50021,13/02/2019,1020
peter022,50022,13/02/2019,1021
peter023,50023,13/02/2019,1022
peter024,50024,13/02/2019,1023
peter025,50025,13/02/2019,1024
peter026,50026,13/02/2019,1025
peter027,50027,13/02/2019,1026
peter028,50028,13/02/2019,1027
peter029,50029,13/02/2019,1028
peter030,50030,13/02/2019,1029
peter031,50031,13/02/2019,1030
peter032,50032,13/02/2019,1031
peter033,50033,13/02/2019,1032
peter034,50034,13/02/2019,1033
peter035,50035,13/02/2019,1034
peter036,50036,13/02/2019,1035
peter037,50037,13/02/2019,1036
peter038,50038,13/02/2019,1037
peter039,50039,13/02/2019,1038
peter040,50040,13/02/2019,1039
peter041,50041,13/02/2019,1040
peter042,50042,13/02/2019,1041
peter043,50043,13/02/2019,1042
peter044,50044,13/02/2019,1043
peter045,50045,13/02/2019,1044
peter046,50046,13/02/2019,1045
peter047,50047,13/02/2019,1046
peter048,50048,13/02/2019,1047
peter049,50049,13/02/2019,1048
peter050,50050,13/02/2019,1049
peter051,50051,13/02/2019,1050
peter052,50052,13/02/2019,1051
peter053,50053,13/02/2019,1052
peter054,50054,13/02/2019,1053
peter055,50055,13/02/2019,1054
peter056,50056,13/02/2019,1055
peter057,50057,13/02/2019,1056
peter058,50058,13/02/2019,1057
peter059,50059,13/02/2019,1058
peter060,50060,13/02/2019,1059
peter061,50061,13/02/2019,1060
peter062,50062,13/02/2019,1061
peter063,50063,13/02/2019,1062
peter064,50064,13/02/2019,1063
peter065,50065,13/02/2019,1064
peter066,50066,13/02/2019,1065
peter067,50067,13/02/2019,1066
peter068,50068,13/02/2019,1067
peter069,50069,13/02/2019,1068
peter070,50070,13/02/2019,1069
peter071,50071,13/02/2019,1070
peter072,50072,13/02/2019,1071
peter073,50073,13/02/2019,1072
peter074,50074,13/02/2019,1073
peter075,50075,13/02/2019,1074
peter076,50076,13/02/2019,1075
peter077,50077,13/02/2019,1076
peter078,50078,13/02/2019,1077
peter079,50079,13/02/2019,1078
peter080,50080,13/02/2019,1079
peter081,50081,13/02/2019,1080
peter082,50082,13/02/2019,1081
peter083,50083,13/02/2019,1082
peter084,50084,13/02/2019,1083
peter085,50085,13/02/2019,1084
peter086,50086,13/02/2019,1085
peter087,50087,13/02/2019,1086
peter088,50088,13/02/2019,1087
peter089,50089,13/02/2019,1088
peter090,50090,13/02/2019,1089
peter091,50091,13/02/2019,1090
peter092,50092,13/02/2019,1091
peter093,50093,13/02/2019,1092
peter094,50094,13/02/2019,1093
peter095,50095,13/02/2019,1094
peter096,50096,13/02/2019,1095
peter097,50097,13/02/2019,1096
peter098,50098,13/02/2019,1097
peter099,50099,13/02/2019,1098
peter100,50100,13/02/2019,1099
peter101,50101,13/02/2019,1100
peter102,50102,13/02/2019,1101
peter103,50103,13/02/2019,1102
peter104,50104,13/02/2019,1103
peter105,50105,13/02/2019,1104
peter106,50106,13/02/2019,1105
peter107,50107,13/02/2019,1106
peter108,50108,13/02/2019,1107
peter109,50109,13/02/2019,1108
peter110,50110,13/02/2019,1109
peter111,50111,13/02/2019,1110
peter112,50112,13/02/2019,1111
peter113,50113,13/02/2019,1112
peter114,50114,13/02/2019,1113
peter115,50115,13/02/2019,1114
peter116,50116,13/02/2019,1115
peter117,50117,13/02/2019,1116
peter118,50118,13/02/2019,1117
peter119,50119,13/02/2019,1118
peter120,50120,13/02/2019,1119
peter121,50121,13/02/2019,1120
peter122,50122,13/02/2019,1121
peter123,50123,13/02/2019,1122
peter124,50124,13/02/2019,1123
peter125,50125,13/02/2019,1124
peter126,50126,13/02/2019,1125
peter127,50127,13/02/2019,1126
peter128,50128,13/02/2019,1127
peter129,50129,13/02/2019,1128
peter130,50130,13/02/2019,1129
peter131,50131,13/02/2019,1130
peter132,50132,13/02/2019,1131
peter133,50133,13/02/2019,1132
peter134,50134,13/02/2019,1133
peter135,50135,13/02/2019,1134
peter136,50136,13/02/2019,1135
peter137,50137,13/02/2019,1136
peter138,50138,13/02/2019,1137
peter139,50139,13/02/2019,1138
peter140,50140,13/02/2019,1139
peter141,50141,13/02/2019,1140
peter142,50142,13/02/2019,1141
peter143,50143,13/02/2019,1142
peter144,50144,13/02/2019,1143
peter145,50145,13/02/2019,1144
peter146,50146,13/02/2019,1145
peter147,50147,13/02/2019,1146
peter148,50148,13/02/2019,1147
peter149,50149,13/02/2019,1148
peter150,50150,13/02/2019,1149
peter151,50151,13/02/2019,1150
peter152,50152,13/02/2019,1151
peter153,50153,13/02/2019,1152
peter154,50154,13/02/2019,1153
peter155,50155,13/02/2019,1154
peter156,50156,13/02/2019,1155
peter157,50157,13/02/2019,1156
peter158,50158,13/02/2019,1157
peter159,50159,13/02/2019,1158
peter160,50160,13/02/2019,1159
peter161,50161,13/02/2019,1160
peter162,50162,13/02/2019,1161
peter163,50163,13/02/2019,1162
peter164,50164,13/02/2019,1163
peter165,50165,13/02/2019,1164
peter166,50166,13/02/2019,1165
peter167,50167,13/02/2019,1166
peter168,50168,13/02/2019,1167
peter169,50169,13/02/2019,1168
peter170,50170,13/02/2019,1169
peter171,50171,13/02/2019,1170
peter172,50172,13/02/2019,1171
peter173,50173,13/02/2019,1172
peter174,50174,13/02/2019,1173
peter175,50175,13/02/2019,1174
peter176,50176,13/02/2019,1175
peter177,50177,13/02/2019,1176
peter178,50178,13/02/2019,1177
peter179,50179,13/02/2019,1178
peter180,50180,13/02/2019,1179
peter181,50181,13/02/2019,1180
peter182,50182,13/02/2019,1181
peter183,50183,13/02/2019,1182
peter184,50184,13/02/2019,1183
peter185,50185,13/02/2019,1184
peter186,50186,13/02/2019,1185
peter187,50187,13/02/2019,1186
peter188,50188,13/02/2019,1187
peter189,50189,13/02/2019,1188
peter190,50190,13/02/2019,1189
peter191,50191,13/02/2019,1190
peter192,50192,13/02/2019,1191
peter193,50193,13/02/2019,1192
peter194,50194,13/02/2019,1193
peter195,50195,13/02/2019,1194
peter196,50196,13/02/2019,1195
peter197,50197,13/02/2019,1196
peter198,50198,13/02/2019,1197
peter199,50199,13/02/2019,1198
peter200,50200,13/02/2019,1199
peter201,50201,13/02/2019,1200
peter202,50202,13/02/2019,1201
peter203,50203,13/02/2019,1202
peter204,50204,13/02/2019,1203
peter205,50205,13/02/2019,1204
peter206,50206,13/02/2019,1205
peter207,50207,13/02/2019,1206
peter208,50208,13/02/2019,1207
peter209,50209,13/02/2019,1208
peter210,50210,13/02/2019,1209
peter211,50211,13/02/2019,1210
peter212,50212,13/02/2019,1211
peter213,50213,13/02/2019,1212
peter214,50214,13/02/2019,1213
peter215,50215,13/02/2019,1214
peter216,50216,13/02/2019,1215
peter217,50217,13/02/2019,1216
peter218,50218,13/02/2019,1217
peter219,50219,13/02/2019,1218
peter220,50220,13/02/2019,1219
peter221,50221,13/02/2019,1220
peter222,50222,13/02/2019,1221
peter223,50223,13/02/2019,1222
peter224,50224,13/02/2019,1223
